,audio,text,start,end,speaker,segment
0,features/032214/0000.wav,こんにちは、私はインディーです。,29.88284375,32.68409375,indy,seg1
1,features/032214/0001.wav,これからインタビューをするので、いくつかの質問に答えていただきたいと思います。,35.38409375000001,41.13846875,indy,seg1
2,features/032214/0002.wav,よろしくお願いします。,43.19721875,44.91846875,indy,seg1
3,features/032214/0003.wav,ではまず最初の質問から。,46.62284375,49.03596875,indy,seg1
4,features/032214/0004.wav,ペットはいますか?,50.60534375,51.93846875000001,indy,seg1
5,features/032214/0005.wav,いないです,53.17034375,53.92971875000001,subject,seg1
6,features/032214/0006.wav,そうなんですね。,56.64659375,57.84471875000001,indy,seg1
7,features/032214/0007.wav,昔ペットを飼っていたことはありますか?,61.32096875000001,64.64534375000001,indy,seg1
8,features/032214/0008.wav,あります,64.79721875,65.69159375000001,subject,seg1
9,features/032214/0009.wav,へえ,69.45471875,69.96096875,indy,seg1
10,features/032214/0010.wav,何を買っていたのですか?,72.25596875000001,74.31471875000001,indy,seg1
11,features/032214/0011.wav,ハムスターとポメラニアン飼っていました,75.14159375,78.02721875,subject,seg1
12,features/032214/0012.wav,うんうん,80.38971875,81.16596875,indy,seg1
13,features/032214/0013.wav,どんな性格の子なんですか?,83.68034375,85.94159375000001,indy,seg1
14,features/032214/0014.wav,ポメラニアンは活発な子でした,87.34221875,90.39659375,subject,seg1
15,features/032214/0015.wav,ハムスターはちょっと性格わからないです,91.00409375,93.38346875,subject,seg1
16,features/032214/0016.wav,かわいいですね。,97.53471875,98.74971875,indy,seg1
17,features/032214/0017.wav,これから新しいペットを飼いたいですか?,103.17096875,106.30971875,indy,seg1
18,features/032214/0018.wav,もういいかなと思っています,107.28846875,109.04346875,subject,seg1
19,features/032214/0019.wav,そうなんですね。,112.36784375,113.56596875,indy,seg1
20,features/032214/0020.wav,何か理由があるのですか?,116.06346875,118.29096875,indy,seg1
21,features/032214/0021.wav,うーん、お世話が大変なのと命を預かるのが負担かなと思います,119.84346875,125.73284375,subject,seg1
22,features/032214/0022.wav,なるほど。,128.65221875,129.54659375,indy,seg1
23,features/032214/0023.wav,ありがとうございます。次の質問をさせていただきます。,131.25096875,135.70596875,indy,seg1
24,features/032214/0024.wav,はい,135.90596875,136.30596875,subject,seg2
25,features/032214/0025.wav,趣味は何ですか?,137.41034375,138.87846875,indy,seg2
26,features/032214/0026.wav,趣味は,140.41409375,140.97096875,subject,seg2
27,features/032214/0027.wav,エステに通うことです,142.05096875,143.63721875,subject,seg2
28,features/032214/0028.wav,そうなんですね。,147.33284375,148.54784375,indy,seg2
29,features/032214/0029.wav,どのようなことをしているんですか?,154.42034375,156.90096875,indy,seg2
30,features/032214/0030.wav,えっと、アロマオイルで,159.97221875,161.03534375,subject,seg2
31,features/032214/0031.wav,ボディートリートメントをします,161.87909375,163.93784375,subject,seg2
32,features/032214/0032.wav,面白そうですね,168.78096875,170.33346875,indy,seg2
33,features/032214/0033.wav,初めてからどれくらい経つのですか?,174.88971875,177.60659375,indy,seg2
34,features/032214/0034.wav,うーん、もう10年以上続けてる習慣,178.61909375,182.66909375,subject,seg2
35,features/032214/0035.wav,です,183.59721875,184.0022187500001,subject,seg2
36,features/032214/0036.wav,すごいですね,187.02284375,187.76534375,indy,seg2
37,features/032214/0037.wav,どのようなきっかけで始めたのですか?,192.81096875,195.76409375,indy,seg2
38,features/032214/0038.wav,きっかけは疲れを取るためでした,197.38409375,200.96159375,subject,seg2
39,features/032214/0039.wav,なるほど,205.9397187500001,206.86784375,indy,seg2
40,features/032214/0040.wav,もし新しいことを始めるとしたら、何に興味がありますか?,210.90096875,216.21659375,indy,seg2
41,features/032214/0041.wav,新しいことを始めるとしたら,218.05596875,221.73471875,subject,seg2
42,features/032214/0042.wav,そうですね,223.38846875,224.70471875,subject,seg2
43,features/032214/0043.wav,お料理をしてみたいと思います,226.89846875,229.04159375,subject,seg2
44,features/032214/0044.wav,素敵ですね,233.14221875,234.25596875,indy,seg2
45,features/032214/0045.wav,ありがとうございます。次の質問をさせていただきます。,237.27659375,241.69784375,indy,seg2
46,features/032214/0046.wav,好きな学校の教科は何でしたか?,243.46971875,246.32159375,indy,seg3
47,features/032214/0047.wav,好きな学校の教科は,248.48159375,248.93721875,subject,seg3
48,features/032214/0048.wav,えー、一つもなかったと思います,255.43409375,257.25659375,subject,seg3
49,features/032214/0049.wav,そうなんですね。,265.22159375,266.45346875,indy,seg3
50,features/032214/0050.wav,うん,266.45346875,266.85346875,subject,seg3
51,features/032214/0051.wav,何か理由があるのですか?,267.92159375,270.14909375,indy,seg3
52,features/032214/0052.wav,えー、お勉強が苦手でした。,271.00971875,272.96721875,subject,seg3
53,features/032214/0053.wav,運動も苦手でした。,273.82784375,274.97534375,subject,seg3
54,features/032214/0054.wav,うんうん,278.73846875,279.48096875,indy,seg3
55,features/032214/0055.wav,特別な勉強方法がありましたか?,287.22659375,290.31471875,indy,seg3
56,features/032214/0056.wav,うーん、見つけられなかったです,291.31034375,293.95971875,subject,seg3
57,features/032214/0057.wav,なるほど,298.75221875,299.68034375,indy,seg3
58,features/032214/0058.wav,ありがとうございます。次の質問をさせていただきます。,305.24909375,309.65346875,indy,seg3
59,features/032214/0059.wav,今までにロボットと会話したことはあるの?,313.61909375,316.99409375,indy,seg4
60,features/032214/0060.wav,あります,318.04034375,318.73221875,subject,seg4
61,features/032214/0061.wav,そうなんだ,322.05659375,323.08596875,indy,seg4
62,features/032214/0062.wav,どんなことを話したの?,326.62971875,328.58721875,indy,seg4
63,features/032214/0063.wav,うーん,329.53221875,330.71346875,subject,seg4
64,features/032214/0064.wav,駅の中を案内してもらったり,331.30409375,334.07159375,subject,seg4
65,features/032214/0065.wav,ホテルで,334.98284375,335.69159375,subject,seg4
66,features/032214/0066.wav,観光地を案内してもらったりしました,336.41721875,338.79659375,subject,seg4
67,features/032214/0067.wav,へえ,342.12096875,342.61034375,indy,seg4
68,features/032214/0068.wav,私とそのロボットどっちが話しやすい?,345.24284375,348.56721875,indy,seg4
69,features/032214/0069.wav,うーん,349.34346875,350.57534375,subject,seg4
70,features/032214/0070.wav,フリーの会話じゃないからなぁ,353.19096875,355.03034375,subject,seg4
71,features/032214/0071.wav,わかんないです。どっちだろう。,362.35409375,364.15971875,subject,seg4
72,features/032214/0072.wav,そっかー,368.0409687500001,368.98596875,indy,seg4
73,features/032214/0073.wav,この先、お話できるロボットが世の中に増えていってほしい?,371.92221875,377.15346875,indy,seg4
74,features/032214/0074.wav,欲しくない?,378.08159375,379.06034375,indy,seg4
75,features/032214/0075.wav,増えていったらいいなって思います。,381.70971875,383.97096875,subject,seg4
76,features/032214/0076.wav,うんうん,387.4809687500001,388.27409375,indy,seg4
77,features/032214/0077.wav,どんなロボットができたらもっと会話したいと思うかな。,390.19784375,394.1972187500001,indy,seg4
78,features/032214/0078.wav,どんなロボットか,395.4290937500001,396.2728437500001,subject,seg4
79,features/032214/0079.wav,でもちょっとした話し相手になってくれるのがいたら,398.92221875,402.78659375,subject,seg4
80,features/032214/0080.wav,いいなと思います,403.34346875,404.59221875,subject,seg4
81,features/032214/0081.wav,そうなんだ,407.98409375,409.03034375,indy,seg4
82,features/032214/0082.wav,ありがとう。じゃあ次の質問をするね。,421.68659375,425.19659375,indy,seg4
83,features/032214/0083.wav,結婚はしているの?,430.68096875,432.43596875,indy,seg5
84,features/032214/0084.wav,しています,433.06034375,433.90409375,subject,seg5
85,features/032214/0085.wav,そうなんだ,437.41409375,438.44346875,indy,seg5
86,features/032214/0086.wav,一緒に楽しんでいる活動や休日の過ごし方はあるの?,441.16034375,445.86846875,indy,seg5
87,features/032214/0087.wav,うーん、あっ、温泉に一緒に行くのが好きです,448.46721875,450.7622187500001,subject,seg5
88,features/032214/0088.wav,面白そうだ。,456.4997187500001,457.8665937500001,indy,seg5
