,audio,text,start,end,speaker,segment
0,features/082615/0000.wav,こんにちは、私はインディーです。,249.25784375,252.02534375,indy,seg1
1,features/082615/0001.wav,これからインタビューをするので、いくつかの質問に答えていただきたいと思います。,255.38346875,261.74534375,indy,seg1
2,features/082615/0002.wav,よろしくお願いします,264.73221875,266.43659375000004,indy,seg1
3,features/082615/0003.wav,ではまず最初の質問から,270.89159375,273.33846875,indy,seg1
4,features/082615/0004.wav,列島あります,275.58284375,276.81471875,indy,seg1
5,features/082615/0005.wav,と言ったはいないです,279.97034375000004,281.65784375000004,subject,seg1
6,features/082615/0006.wav,そうなんですね。,286.29846875000004,287.53034375000004,indy,seg1
7,features/082615/0007.wav,昔ペットを飼っていたことはありますか?,289.80846875000003,292.84596875,indy,seg1
8,features/082615/0008.wav,昔ベッドを買ってたことはないです,294.07784375,296.94659375000003,subject,seg1
9,features/082615/0009.wav,これから新しいベッドを買いたいです。,303.02159375,305.94096875,indy,seg1
10,features/082615/0010.wav,犬とか,307.96596875,309.02909375,subject,seg1
11,features/082615/0011.wav,犬に立ってみたいです,309.53534375000004,310.93596875000003,subject,seg1
12,features/082615/0012.wav,へえ,314.86784375,316.01534375,indy,seg1
13,features/082615/0013.wav,何を買いたいですか?,320.47034375000004,322.09034375000005,indy,seg1
14,features/082615/0014.wav,フレンチブルドッグとか買ってみたいな,325.02659375,327.69284375,subject,seg1
15,features/082615/0015.wav,うん,331.82721875000004,332.31659375000004,indy,seg1
16,features/082615/0016.wav,何か変えない事情があるのですが,336.61971875,339.35346875000005,indy,seg1
17,features/082615/0017.wav,世話する時間がないっていう,343.20096875,346.33971875000003,subject,seg1
18,features/082615/0018.wav,へえ,351.95909375,352.88721875000005,indy,seg1
19,features/082615/0019.wav,ありがとうございます次の質問をさせていただきます,354.06846875,358.42221875,indy,seg1
20,features/082615/0020.wav,趣味は何ですか?,360.21096875,361.57784375,indy,seg2
21,features/082615/0021.wav,進路は,362.96159375,363.70409375,subject,seg2
22,features/082615/0022.wav,体を動かすことです,364.95284375,367.01159375,subject,seg2
23,features/082615/0023.wav,すごいですね,369.91409375,371.06159375,indy,seg2
24,features/082615/0024.wav,一緒に趣味を楽しむお友達はいますか?,373.57596875,376.8665937500001,indy,seg2
25,features/082615/0025.wav,はい,378.5540937500001,378.89159375,subject,seg2
26,features/082615/0026.wav,一緒に筋トレとかよくしたりします。,380.44409375,384.02159375,subject,seg2
27,features/082615/0027.wav,,387.12659375,387.8353437500001,indy,seg2
28,features/082615/0028.wav,どういった時が一番楽しいですか?,389.65784375,392.56034375,indy,seg2
29,features/082615/0029.wav,友達と一緒にしんどいことをやるときとかが楽しいです。,396.52596875,402.49971875,subject,seg2
30,features/082615/0030.wav,素敵ですね,405.9759687500001,407.14034375,indy,seg2
31,features/082615/0031.wav,どのようなきっかけで始めたのですか?,410.66721875,413.72159375,indy,seg2
32,features/082615/0032.wav,小さい頃からラグビーをしていて、それがきっかけで運動をしています。,415.7465937500001,423.55971875,subject,seg2
33,features/082615/0033.wav,そうなんですね,429.56721875000005,430.91721875,indy,seg2
34,features/082615/0034.wav,今までで何か続けてきたことやハマったことはありますか?,435.69284375,440.02971875,indy,seg2
35,features/082615/0035.wav,小学校からラグビーしてて,443.1684687500001,446.27346875,subject,seg2
36,features/082615/0036.wav,見るのもするのも好きです,447.7753437500001,451.6059687500001,subject,seg2
37,features/082615/0037.wav,熱心なんですって,454.67721875,456.14534375000005,indy,seg2
38,features/082615/0038.wav,はい,457.12409375,457.4447187500001,indy,seg2
39,features/082615/0039.wav,ありがとうございます次の質問をさせていただきます,459.60471875,463.94159375,indy,seg2
40,features/082615/0040.wav,好きな学校の教科は何ですか?,466.47284375,468.95346875,indy,seg3
41,features/082615/0041.wav,はい,470.96159375,471.38346875,subject,seg3
42,features/082615/0042.wav,はい,475.78784375,476.10846875,subject,seg3
43,features/082615/0043.wav,その教科を好きになったきっかけは何ですか?,485.60909375000006,489.20346875,indy,seg3
44,features/082615/0044.wav,やっぱり体を動かすことが好きなので、タイプが一番好きです。,490.21596875000006,497.64096875,subject,seg3
45,features/082615/0045.wav,んー,501.18471875000006,501.87659375,indy,seg3
46,features/082615/0046.wav,その教科の先生はどんな人でしたか?,505.69034375,508.67721875,indy,seg3
47,features/082615/0047.wav,ボクシング部の顧問で怒ったらめちゃめちゃ怖い人でした,510.71909375,517.48596875,subject,seg3
48,features/082615/0048.wav,なるほど,521.2490937499999,521.72159375,indy,seg3
49,features/082615/0049.wav,その教科で学んだことで、今でも役立っていることはありますか?,527.4253437500001,532.7747187500001,indy,seg3
50,features/082615/0050.wav,習慣、運動を生活習慣に取り入れることには役立っているかなと思います,534.7153437500001,544.35096875,subject,seg3
